URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/ZECUSDT/otpEBax3-ZEC-USDT-Strong-Trendline-Support/,chart,ZECUSDT,otpEBax3-ZEC-USDT-Strong-Trendline-Support,
https://www.tradingview.com/chart/NDX/kXDVFQGv-Bollinger-Bands/,chart,NDX,kXDVFQGv-Bollinger-Bands,
https://www.tradingview.com/chart/KNCUSDT/au0mJP82-KNCBTC-anothe-bullish-reversal-pattern-is-formed/,chart,KNCUSDT,au0mJP82-KNCBTC-anothe-bullish-reversal-pattern-is-formed,
https://www.tradingview.com/chart/NATGASUSD/PHWfLZ6D-NATGASUSD-SHORT-on-Order-Flow-Follow-the-smart-money/,chart,NATGASUSD,PHWfLZ6D-NATGASUSD-SHORT-on-Order-Flow-Follow-the-smart-money,
https://www.tradingview.com/chart/EURNZD/BkXhPBvU-EUR-NZD-BUY/,chart,EURNZD,BkXhPBvU-EUR-NZD-BUY,
https://www.tradingview.com/chart/GOLD/fRAsCT7l-Gold-Proving-Resilient/,chart,GOLD,fRAsCT7l-Gold-Proving-Resilient,
https://www.tradingview.com/chart/BTCUSD/Wnrkzp8z-The-rising-trend-of-BTC-faces-a-severe-test/,chart,BTCUSD,Wnrkzp8z-The-rising-trend-of-BTC-faces-a-severe-test,
https://www.tradingview.com/chart/SPX/F9TmmV1M-The-S-P-500-Is-Teetering-as-Quarter-End-Approaches/,chart,SPX,F9TmmV1M-The-S-P-500-Is-Teetering-as-Quarter-End-Approaches,
https://www.tradingview.com/chart/TWTR/9rJ2hcQg-TWTR-BEARISH/,chart,TWTR,9rJ2hcQg-TWTR-BEARISH,
https://www.tradingview.com/chart/BTCUSD/hjVSkuqE-In-Depth-Technical-Analysis-on-BTCUSD-July-20-By-Trading-Guru/,chart,BTCUSD,hjVSkuqE-In-Depth-Technical-Analysis-on-BTCUSD-July-20-By-Trading-Guru,
